Genes	biological_process	cellular_component	molecular_function	kegg_pathway
MSMO1	GO:0008610(lipid biosynthetic process)	GO:0016021(integral component of membrane)	GO:0005506(iron ion binding);GO:0016491(oxidoreductase activity)	ko00100(Steroid biosynthesis)
MTAP	GO:0019509(L-methionine salvage from methylthioadenosine);GO:0006166(purine ribonucleoside salvage)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0017061(S-methyl-5-thioadenosine phosphorylase activity)	ko00270(Cysteine and methionine metabolism)
MT-ATP6	GO:0015986(ATP synthesis coupled proton transport)	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane);GO:0045263(proton-transporting ATP synthase complex, coupling factor F(o))	GO:0015078(proton transmembrane transporter activity)	ko00190(Oxidative phosphorylation)
MT-CO1	GO:0009060(aerobic respiration);GO:0006119(oxidative phosphorylation)	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane);GO:0045277(respiratory chain complex IV)	GO:0004129(cytochrome-c oxidase activity);GO:0020037(heme binding);GO:0046872(metal ion binding)	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
MT-CO2	NA	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	GO:0005507(copper ion binding);GO:0004129(cytochrome-c oxidase activity)	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
MT-CO3	GO:0019646(aerobic electron transport chain)	GO:0016021(integral component of membrane);GO:0005739(mitochondrion)	GO:0004129(cytochrome-c oxidase activity)	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
MT-CYB	GO:0006122(mitochondrial electron transport, ubiquinol to cytochrome c)	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane);GO:0045275(respiratory chain complex III)	GO:0046872(metal ion binding);GO:0008121(ubiquinol-cytochrome-c reductase activity)	ko02020(Two-component system);ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
MTHFD1	NA	NA	GO:0005524(ATP binding);GO:0004329(formate-tetrahydrofolate ligase activity);GO:0004488(methylenetetrahydrofolate dehydrogenase (NADP+) activity)	ko00670(One carbon pool by folate)
MTHFD2	NA	NA	GO:0004488(methylenetetrahydrofolate dehydrogenase (NADP+) activity)	ko00670(One carbon pool by folate)
MTHFR	GO:0006555(methionine metabolic process);GO:0035999(tetrahydrofolate interconversion)	NA	GO:0004489(methylenetetrahydrofolate reductase (NAD(P)H) activity)	ko00720(Carbon fixation pathways in prokaryotes);ko00670(One carbon pool by folate);ko01200(Carbon metabolism)
MTHFS	NA	NA	GO:0030272(5-formyltetrahydrofolate cyclo-ligase activity);GO:0005524(ATP binding);GO:0046872(metal ion binding)	ko00670(One carbon pool by folate)
MTMR6	GO:0046856(phosphatidylinositol dephosphorylation)	NA	GO:0052866(phosphatidylinositol phosphate phosphatase activity);GO:0004725(protein tyrosine phosphatase activity)	ko04138(Autophagy - yeast);ko04070(Phosphatidylinositol signaling system);ko00562(Inositol phosphate metabolism)
MT-ND1	NA	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
MT-ND3	NA	GO:0016021(integral component of membrane);GO:0031966(mitochondrial membrane);GO:0070469(respirasome)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
MT-ND4	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0016021(integral component of membrane);GO:0031966(mitochondrial membrane);GO:0070469(respirasome)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
MT-ND5	GO:0042773(ATP synthesis coupled electron transport)	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
MUG1	NA	GO:0005615(extracellular space)	GO:0004866(endopeptidase inhibitor activity)	ko04610(Complement and coagulation cascades)
MVB12B	NA	GO:0000813(ESCRT I complex)	NA	ko04144(Endocytosis)
MYEF2	GO:0000398(mRNA splicing, via spliceosome)	NA	GO:0003723(RNA binding)	ko03040(Spliceosome)
MYL6	NA	NA	GO:0005509(calcium ion binding)	ko04530(Tight junction);ko04270(Vascular smooth muscle contraction);ko04921(Oxytocin signaling pathway)
MYL9	NA	NA	GO:0005509(calcium ion binding)	ko04810(Regulation of actin cytoskeleton);ko04510(Focal adhesion);ko04530(Tight junction);ko04024(cAMP signaling pathway);ko04022(cGMP - PKG signaling pathway);ko04270(Vascular smooth muscle contraction);ko04921(Oxytocin signaling pathway);ko04670(Leukocyte transendothelial migration)
NA	GO:0006241(CTP biosynthetic process);GO:0006183(GTP biosynthetic process);GO:0006228(UTP biosynthetic process)	NA	GO:0005524(ATP binding);GO:0004550(nucleoside diphosphate kinase activity)	ko04016(MAPK signaling pathway - plant);ko00230(Purine metabolism);ko00240(Pyrimidine metabolism)
NANS	GO:0016051(carbohydrate biosynthetic process);GO:0048706(embryonic skeletal system development)	NA	GO:0003824(catalytic activity)	ko00520(Amino sugar and nucleotide sugar metabolism)
NAPA	GO:0006886(intracellular protein transport)	NA	NA	ko04138(Autophagy - yeast);ko04721(Synaptic vesicle cycle)
NAPRT	GO:0009435(NAD biosynthetic process)	NA	GO:0004516(nicotinate phosphoribosyltransferase activity);GO:0004514(nicotinate-nucleotide diphosphorylase (carboxylating) activity)	ko00760(Nicotinate and nicotinamide metabolism)
NCBP2	GO:0045292(mRNA cis splicing, via spliceosome)	GO:0005846(nuclear cap binding complex);GO:0005634(nucleus)	GO:0000339(RNA cap binding)	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
NCEH1	NA	GO:0016021(integral component of membrane)	GO:0052689(carboxylic ester hydrolase activity)	ko04976(Bile secretion)
NCOA4	GO:0006879(cellular iron ion homeostasis)	GO:0005623(cell)	GO:0003713(transcription coactivator activity)	ko04216(Ferroptosis)
NDST1	GO:1904888(cranial skeletal system development)	GO:0016021(integral component of membrane)	GO:0015016([heparan sulfate]-glucosamine N-sulfotransferase activity);GO:0016787(hydrolase activity)	ko00534(Glycosaminoglycan biosynthesis - heparan sulfate / heparin)
NDUFA10	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0005759(mitochondrial matrix);GO:0005747(mitochondrial respiratory chain complex I)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFA11	GO:0032981(mitochondrial respiratory chain complex I assembly)	NA	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFA12	NA	GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	GO:0009055(electron transfer activity);GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFA13	NA	GO:0016021(integral component of membrane)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFA2	GO:0055114(oxidation-reduction process)	GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFA3	NA	GO:0016021(integral component of membrane);GO:0005747(mitochondrial respiratory chain complex I)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFA4	NA	GO:0016021(integral component of membrane)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFA5	GO:0022904(respiratory electron transport chain)	NA	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFA6	GO:0055114(oxidation-reduction process)	GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFA7	GO:0042773(ATP synthesis coupled electron transport)	GO:0005743(mitochondrial inner membrane)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFA8	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFA9	NA	NA	GO:0003824(catalytic activity);GO:0050662(coenzyme binding)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFAB1	GO:0006633(fatty acid biosynthetic process)	NA	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFB1	NA	GO:0016021(integral component of membrane);GO:0005739(mitochondrion)	GO:0003954(NADH dehydrogenase activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFB11	NA	GO:0016021(integral component of membrane)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFB2	NA	GO:0005747(mitochondrial respiratory chain complex I)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFB3	GO:0022900(electron transport chain)	GO:0005739(mitochondrion)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFB4	NA	GO:0016021(integral component of membrane);GO:0005739(mitochondrion)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFB5	NA	GO:0016021(integral component of membrane)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFB6	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0005747(mitochondrial respiratory chain complex I)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFB7	NA	GO:0005739(mitochondrion)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFB8	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0016021(integral component of membrane);GO:0005747(mitochondrial respiratory chain complex I)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFB9	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0005739(mitochondrion)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFC1	NA	GO:0016021(integral component of membrane);GO:0005747(mitochondrial respiratory chain complex I)	NA	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFC2	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFS1	GO:0042773(ATP synthesis coupled electron transport)	GO:0016020(membrane)	GO:0009055(electron transfer activity);GO:0051536(iron-sulfur cluster binding);GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFS2	NA	NA	GO:0051287(NAD binding);GO:0016651(oxidoreductase activity, acting on NAD(P)H);GO:0048038(quinone binding)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFS3	NA	NA	GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFS4	GO:0022900(electron transport chain)	NA	GO:0016651(oxidoreductase activity, acting on NAD(P)H)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFS7	NA	NA	GO:0051539(4 iron, 4 sulfur cluster binding);GO:0046872(metal ion binding);GO:0008137(NADH dehydrogenase (ubiquinone) activity);GO:0048038(quinone binding)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFV1	NA	GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	GO:0051539(4 iron, 4 sulfur cluster binding);GO:0010181(FMN binding);GO:0046872(metal ion binding);GO:0051287(NAD binding);GO:0008137(NADH dehydrogenase (ubiquinone) activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NDUFV2	NA	NA	GO:0051537(2 iron, 2 sulfur cluster binding);GO:0046872(metal ion binding);GO:0016491(oxidoreductase activity)	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
NFE2L2	GO:0034599(cellular response to oxidative stress);GO:0071379(cellular response to prostaglandin stimulus);GO:0071466(cellular response to xenobiotic stimulus);GO:0045893(positive regulation of transcription, DNA-templated)	GO:0005737(cytoplasm);GO:0005634(nucleus);GO:0005667(transcription factor complex)	GO:0003677(DNA binding);GO:0003700(DNA-binding transcription factor activity);GO:0046982(protein heterodimerization activity);GO:0000976(transcription regulatory region sequence-specific DNA binding)	ko04141(Protein processing in endoplasmic reticulum);ko04212(Longevity regulating pathway - worm)
NFKBIA	GO:1901533(negative regulation of hematopoietic progenitor cell differentiation);GO:0009615(response to virus)	NA	NA	ko04210(Apoptosis);ko04064(NF-kappa B signaling pathway);ko04668(TNF signaling pathway);ko04024(cAMP signaling pathway);ko04380(Osteoclast differentiation);ko04920(Adipocytokine signaling pathway);ko04662(B cell receptor signaling pathway);ko04062(Chemokine signaling pathway);ko04623(Cytosolic DNA-sensing pathway);ko04657(IL-17 signaling pathway);ko04621(NOD-like receptor signaling pathway);ko04622(RIG-I-like receptor signaling pathway);ko04660(T cell receptor signaling pathway);ko04658(Th1 and Th2 cell differentiation);ko04659(Th17 cell differentiation);ko04624(Toll and Imd signaling pathway);ko04620(Toll-like receptor signaling pathway);ko04722(Neurotrophin signaling pathway)
NFS1	GO:0044571([2Fe-2S] cluster assembly)	NA	GO:0031071(cysteine desulfurase activity);GO:0030170(pyridoxal phosphate binding)	ko04122(Sulfur relay system);ko00730(Thiamine metabolism)
NHP2	NA	GO:0005730(nucleolus)	GO:0003723(RNA binding)	ko03008(Ribosome biogenesis in eukaryotes)
NIT2	GO:0006807(nitrogen compound metabolic process)	NA	NA	ko00250(Alanine, aspartate and glutamate metabolism)
NMD3	GO:0015031(protein transport)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0043023(ribosomal large subunit binding)	ko03013(RNA transport);ko03008(Ribosome biogenesis in eukaryotes)
NME4	GO:0006241(CTP biosynthetic process);GO:0006183(GTP biosynthetic process);GO:0006228(UTP biosynthetic process)	NA	GO:0005524(ATP binding);GO:0004550(nucleoside diphosphate kinase activity)	ko04016(MAPK signaling pathway - plant);ko00230(Purine metabolism);ko00240(Pyrimidine metabolism)
NMRK2	NA	NA	GO:0016301(kinase activity)	ko00760(Nicotinate and nicotinamide metabolism)
NOB1	GO:0000469(cleavage involved in rRNA processing);GO:0042274(ribosomal small subunit biogenesis)	GO:0005634(nucleus)	GO:0004521(endoribonuclease activity);GO:0046872(metal ion binding)	ko03008(Ribosome biogenesis in eukaryotes)
NOP10	GO:0001522(pseudouridine synthesis);GO:0042254(ribosome biogenesis);GO:0060215(primitive hemopoiesis);GO:0006364(rRNA processing);GO:0031118(rRNA pseudouridine synthesis);GO:0031120(snRNA pseudouridine synthesis);GO:0007004(telomere maintenance via telomerase)	GO:0031429(box H/ACA snoRNP complex);GO:0090661(box H/ACA telomerase RNP complex);GO:0005697(telomerase holoenzyme complex)	GO:0030515(snoRNA binding);GO:0034513(box H/ACA snoRNA binding);GO:0070034(telomerase RNA binding)	ko03008(Ribosome biogenesis in eukaryotes)
NOP56	GO:0007507(heart development)	NA	NA	ko03008(Ribosome biogenesis in eukaryotes)
NPR2	GO:0060038(cardiac muscle cell proliferation);GO:0035556(intracellular signal transduction)	GO:0016021(integral component of membrane)	GO:0005524(ATP binding);GO:0004383(guanylate cyclase activity);GO:0004672(protein kinase activity)	ko04022(cGMP - PKG signaling pathway);ko00230(Purine metabolism);ko04270(Vascular smooth muscle contraction);ko04921(Oxytocin signaling pathway)
NR0B2	GO:0006355(regulation of transcription, DNA-templated)	GO:0005634(nucleus)	GO:0003677(DNA binding);GO:0003707(steroid hormone receptor activity)	ko04976(Bile secretion)
NR1H4	NA	GO:0005634(nucleus)	GO:0004879(nuclear receptor activity);GO:0043565(sequence-specific DNA binding);GO:0003707(steroid hormone receptor activity);GO:0008270(zinc ion binding);GO:0032052(bile acid binding)	ko04976(Bile secretion)
NTN4	GO:0048514(blood vessel morphogenesis)	GO:0005576(extracellular region)	NA	ko04360(Axon guidance)
NTPCR	NA	NA	GO:0098519(nucleotide phosphatase activity, acting on free nucleotides)	ko00730(Thiamine metabolism);ko00230(Purine metabolism)
